Day,Period,Class,Subject
Monday,1,10A,English
Monday,2,9B,Physics
Monday,3,11A,Maths
Monday,4,FREE,
Monday,5,10C,CS
Tuesday,1,11B,AI
Tuesday,2,10A,Maths
Tuesday,3,9A,English
Tuesday,4,10B,Physics
Tuesday,5,FREE,
Wednesday,1,9C,Hindi
Wednesday,2,10A,CS
Wednesday,3,11C,IT
Wednesday,4,10D,Maths
Wednesday,5,12A,AI
Thursday,1,10B,English
Thursday,2,9A,Physics
Thursday,3,11A,IT
Thursday,4,FREE,
Thursday,5,10C,Maths
Friday,1,11B,AI
Friday,2,10D,CS
Friday,3,9B,Physics
Friday,4,10A,English
Friday,5,12B,Hindi
